id,city_id:id,name,code
township_SITTWE_PONNAGYUN,city_RAKHINE_SITTWE,Ponnagyun,PONNAGYUN
township_SITTWE_PAUKTAW,city_RAKHINE_SITTWE,Pauktaw,PAUKTAW
township_SITTWE_SITTWE,city_RAKHINE_SITTWE,Sittwe,SITTWE
township_SITTWE_YATHEDAUNG,city_RAKHINE_SITTWE,Yathedaung,YATHEDAUNG
township_MYINGYAN_TAUNGTHA,city_MANDALAY_MYINGYAN,Taungtha,TAUNGTHA
township_MYINGYAN_NGAZUN,city_MANDALAY_MYINGYAN,Ngazun,NGAZUN
township_MYINGYAN_KYAUKPADAUNG,city_MANDALAY_MYINGYAN,Kyaukpadaung,KYAUKPADAUNG
township_MYINGYAN_MYINGYAN,city_MANDALAY_MYINGYAN,Myingyan,MYINGYAN
township_MYINGYAN_NATOGYI,city_MANDALAY_MYINGYAN,Natogyi,NATOGYI
township_HINTHADA_INGAPU,city_AYEYAWADY_HINTHADA,Ingapu,INGAPU
township_HINTHADA_KYANGIN,city_AYEYAWADY_HINTHADA,Kyangin,KYANGIN
township_HINTHADA_HINTHADA,city_AYEYAWADY_HINTHADA,Hinthada,HINTHADA
township_HINTHADA_MYANAUNG,city_AYEYAWADY_HINTHADA,Myanaung,MYANAUNG
township_HINTHADA_LAYMYETHNA,city_AYEYAWADY_HINTHADA,Laymyethna,LAYMYETHNA
township_HINTHADA_ZALUN,city_AYEYAWADY_HINTHADA,Zalun,ZALUN
township_KATHA_WUNTHO,city_SAGAING_KATHA,Wuntho,WUNTHO
township_KATHA_PINLEBU,city_SAGAING_KATHA,Pinlebu,PINLEBU
township_KATHA_MINGIN,city_SAGAING_KATHA,Mingin,MINGIN
township_KATHA_KAWLIN,city_SAGAING_KATHA,Kawlin,KAWLIN
township_KATHA_KALAY,city_SAGAING_KATHA,Kalay,KALAY
township_KATHA_BANMAUK,city_SAGAING_KATHA,Banmauk,BANMAUK
township_KATHA_INDAW,city_SAGAING_KATHA,Indaw,INDAW
township_KATHA_KATHA,city_SAGAING_KATHA,Katha,KATHA
township_KATHA_TIGYAING,city_SAGAING_KATHA,Tigyaing,TIGYAING
township_KATHA_KALEWA,city_SAGAING_KATHA,Kalewa,KALEWA
township_KYAUKSE_TADA U,city_MANDALAY_KYAUKSE,Tada U,TADA U
township_KYAUKSE_MYITTHAR,city_MANDALAY_KYAUKSE,Myitthar,MYITTHAR
township_KYAUKSE_SINGAING,city_MANDALAY_KYAUKSE,Singaing,SINGAING
township_KYAUKSE_KYAUKSE,city_MANDALAY_KYAUKSE,Kyaukse,KYAUKSE
township_MOHNYIN_HOPIN(SUB-TSP),city_KACHIN_MOHNYIN,Hopin(Sub-Tsp),HOPIN(SUB-TSP)
township_MOHNYIN_MOHNYIN,city_KACHIN_MOHNYIN,Mohnyin,MOHNYIN
township_MOHNYIN_KAMINE(SUB-TSP),city_KACHIN_MOHNYIN,Kamine(Sub-Tsp),KAMINE(SUB-TSP)
township_MOHNYIN_MOGAUNG,city_KACHIN_MOHNYIN,Mogaung,MOGAUNG
township_MOHNYIN_PHAKANT,city_KACHIN_MOHNYIN,Phakant,PHAKANT
township_BHAMO_MOMAUK,city_KACHIN_BHAMO,Momauk,MOMAUK
township_BHAMO_DOTPHONEYAN(SUB-TSP),city_KACHIN_BHAMO,Dotphoneyan(Sub-Tsp),DOTPHONEYAN(SUB-TSP)
township_BHAMO_LWE'GE'(SUB-TSP),city_KACHIN_BHAMO,Lwe'ge(Sub-Tsp),LWE'GE(SUB-TSP)
township_BHAMO_BHAMO,city_KACHIN_BHAMO,Bhamo,BHAMO
township_BHAMO_SHWEGU,city_KACHIN_BHAMO,Shwegu,SHWEGU
township_BHAMO_MANSI,city_KACHIN_BHAMO,Mansi,MANSI
township_BHAMO_MYOHLA(SUB-TSP),city_KACHIN_BHAMO,Myohla(Sub-Tsp),MYOHLA(SUB-TSP)
township_TACHILEIK_KENGLAT(SUB-TSP),city_SHAN_TACHILEIK,Kenglat(Sub-Tsp),KENGLAT(SUB-TSP)
township_TACHILEIK_TALAY(SUB-TSP),city_SHAN_TACHILEIK,Talay(Sub-Tsp),TALAY(SUB-TSP)
township_TACHILEIK_TACHILEIK,city_SHAN_TACHILEIK,Tachileik,TACHILEIK
township_KENGTUNG_KENGTUNG,city_SHAN_KENGTUNG,Kengtung,KENGTUNG
township_KENGTUNG_MINEKAT,city_SHAN_KENGTUNG,Minekat,MINEKAT
township_KENGTUNG_MINEPAUK(SUB-TSP),city_SHAN_KENGTUNG,MinePauk(Sub-Tsp),MINEPAUK(SUB-TSP)
township_KENGTUNG_MINELAR,city_SHAN_KENGTUNG,Minelar,MINELAR
township_KENGTUNG_MINEYAN,city_SHAN_KENGTUNG,Mineyan,MINEYAN
township_MINESAT_MINEPYIN,city_SHAN_MINESAT,Minepyin,MINEPYIN
township_MINESAT_MONEHTA(SUB-TSP),city_SHAN_MINESAT,Monehta(Sub-Tsp),MONEHTA(SUB-TSP)
township_MINESAT_TONTAR(SUB-TSP),city_SHAN_MINESAT,Tontar(Sub-Tsp),TONTAR(SUB-TSP)
township_MINESAT_MINETUNG,city_SHAN_MINESAT,Minetung,MINETUNG
township_MINESAT_PONPARKYIN(SUB-TSP),city_SHAN_MINESAT,Ponparkyin(Sub-Tsp),PONPARKYIN(SUB-TSP)
township_MINESAT_MINEKOKE(SUB-TSP),city_SHAN_MINESAT,Minekoke(Sub-Tsp),MINEKOKE(SUB-TSP)
township_MINESAT_MINESAT,city_SHAN_MINESAT,Minesat,MINESAT
